Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
00011-1;00011;0087784835;;Saillagouse;66800;;;;;2.0321126;42.4568855;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;42.4568855,2.0321126
00012-1;00012;0087784827;;Estavar;66800;;;;;2.0179071;42.4632434;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""EAA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Estavar"", ""Alias_Libelle_Fronton"": ""Estavar"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""ESTAVAR GARE""}";Estavar;Estavar;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;ESTAVAR GARE;1;EAA;42.4632434,2.0179071
00018-1;00018;0087784769;;Fontpédrouse;66360;;;;;2.1886585;42.5138062;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""FTB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fontpédrouse"", ""Alias_Libelle_Fronton"": ""Fontpédrouse Saint-Thomas les Bains"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""FONTPEDROUSE ST THOMAS LES BAINS GARE""}";Fontpédrouse;Fontpédrouse Saint-Thomas les Bains;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;FONTPEDROUSE ST THOMAS LES BAINS GARE;1;FTB;42.5138062,2.1886585
00023-1;00023;0087784710;;Joncet;66193;;;;;2.3111464;42.5615245;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;42.5615245,2.3111464
00026-1;00026;0087784660;;Ria-Sirach;66500;;;;;2.3907488;42.6034078;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""RAJ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ria-Sirach"", ""Alias_Libelle_Fronton"": ""Ria"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""RIA GARE""}";Ria-Sirach;Ria;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;RIA GARE;1;RAJ;42.6034078,2.3907488
00033-1;00033;0087784512;;Le Soler;66270;;;;;2.7930798;42.6787626;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;42.6787626,2.7930798
00041-1;00041;0087784009;;Perpignan;66027;;;;;2.879779;42.696292;a;2;GARE PERPIGNAN;;;;;;;;;;;;;;42.696292,2.879779
00043-1;00043;0087783670;;Belvezet;48170;;;;;3.7518919;44.5617971;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.5617971,3.7518919
00054-1;00054;0087783365;;Sévérac-d'Aveyron;12150;;;;;3.0569451;44.3246516;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""SVC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Sévérac-d'Aveyron"", ""Alias_Libelle_Fronton"": ""Sévérac-le-Château"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""SEVERAC LE CHATEAU GARE""}";Sévérac-d'Aveyron;Sévérac-le-Château;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;SEVERAC LE CHATEAU GARE;1;SVC;44.3246516,3.0569451
00057-1;00057;0087783308;;Le Monastier-Pin-Moriès;48100;;;;;3.252057;44.5089682;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.5089682,3.252057
00063-1;00063;0087783001;;Millau;12100;;;;;3.074570;44.102344;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.102344,3.07457
00064-1;00064;0087782607;;Clermont La Pardieu;63000;;;;;3.134163;45.766947;b;1;GARES B AUVERGNE;"[{""TVS_Code"": ""COP""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Clermont La Pardieu"", ""Alias_Libelle_Fronton"": ""Clermont la Pardieu"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION AUVERGNE"", ""UG_Libelle"": ""UG Auvergne"", ""UT_Libelle"": ""LA PARDIEU HALTE""}";Clermont La Pardieu;Clermont la Pardieu;True;False;DRG AURA-BFC;REGION AUVERGNE;UG Auvergne;LA PARDIEU HALTE;1;COP;45.766947,3.134163
00077-1;00077;0087781104;;Narbonne;11100;;;;;3.005910;43.190387;a;2;GARE NARBONNE;;;;;;;;;;;;;;43.190387,3.00591
00085-1;00085;0087775825;;Le Cailar;30740;;;;;4.2354236;43.6834141;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;43.6834141,4.2354236
00095-1;00095;0087775494;2015-12-31;Bessèges;30160;;;;;4.1005901;44.2884691;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.2884691,4.1005901
00096-1;00096;0087775379;;Fons - Saint-Mamert;30730;;;;;4.2066687;43.9073195;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""FMS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fons - Saint-Mamert"", ""Alias_Libelle_Fronton"": ""Fons - Saint-Mamert"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""FONS ST MAMERT GARE""}";Fons - Saint-Mamert;Fons - Saint-Mamert;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;FONS ST MAMERT GARE;1;FMS;43.9073195,4.2066687
00100-1;00100;0087775288;;Alès;30100;;;;;4.084948;44.127825;b;2;GARES B LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""ALS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Alès"", ""Alias_Libelle_Fronton"": ""Alès"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""ALES GARE""}";Alès;Alès;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;ALES GARE;1;ALS;44.127825,4.084948
00107-1;00107;0087775171;;La Bastide - Saint-Laurent-les-Bains;48250;;;;;3.9042849;44.5934829;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;44.5934829,3.9042849
00111-1;00111;0087775114;;Vergèze - Codognan;30310;;;;;4.218842;43.739877;b;1;GARES B LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;43.739877,4.218842
00113-1;00113;0087775098;;Milhaud;30540;;;;;4.3033268;43.7884886;c;1;GARES C LANGUEDOC ROUSSILLON;;;;;;;;;;;;;;43.7884886,4.3033268
00120-1;00120;0087773531;;Vic - Mireval;34110;;;;;3.7994505;43.5007687;c;1;GARES C LANGUEDOC ROUSSILLON;"[{""TVS_Code"": ""VIC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Vic - Mireval"", ""Alias_Libelle_Fronton"": ""Vic - Mireval"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION LANGUEDOC-ROUSSILLON"", ""UG_Libelle"": ""UG Est Occitanie"", ""UT_Libelle"": ""VIC MIREVAL GARE""}";Vic - Mireval;Vic - Mireval;True;False;DRG Occitanie Sud;REGION LANGUEDOC-ROUSSILLON;UG Est Occitanie;VIC MIREVAL GARE;1;VIC;43.5007687,3.7994505
00122-1;00122;0087773473;2013-12-31;Les Mazes le Crès;34090;;;;;;;D;;GARES C LANGUEDOC ROUSSILLON;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Les Mazes le Crès"", ""Alias_Libelle_Fronton"": ""Les Mazes le Crès"", ""AgenceGC_Libelle"": null, ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Les Mazes le Crès;Les Mazes le Crès;True;False;;;;;1;;
00150-1;00150;0087764308;;Pierrelatte;26700;;;;;4.703783;44.374719;b;1;GARES B RHONE ALPES;;;;;;;;;;;;;;44.374719,4.703783
00151-1;00151;0087764290;;Donzère;26290;;;;;4.7046262;44.4433646;c;1;GARES C RHONE;"[{""TVS_Code"": ""DOE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Donzère"", ""Alias_Libelle_Fronton"": ""Donzère"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION RHONE-ALPES"", ""UG_Libelle"": ""UG Lyon Vallée du Rhône"", ""UT_Libelle"": ""DONZERE GARE""}";Donzère;Donzère;True;False;DRG AURA-BFC;REGION RHONE-ALPES;UG Lyon Vallée du Rhône;DONZERE GARE;1;DOE;44.4433646,4.7046262
00155-1;00155;0087763607;;Briançon;05100;;;;;6.633007;44.889853;b;1;GARES B PROV ALPES;"[{""TVS_Code"": ""BRI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Briançon"", ""Alias_Libelle_Fronton"": ""Briançon"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""BRIANCON GARE""}";Briançon;Briançon;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;BRIANCON GARE;1;BRI;44.889853,6.633007
00160-1;00160;0087763300;;Veynes Dévoluy;05400;;;;;5.815764;44.5320046;b;1;GARES C PROV ALPES;;;;;;;;;;;;;;44.5320046,5.815764
00169-1;00169;0087761759;;Tullins Fures;38210;;;;;5.492194;45.300996;b;1;GARES B ALPES;"[{""TVS_Code"": ""TLE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Tullins Fures"", ""Alias_Libelle_Fronton"": ""Tullins Fures"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION ALPES"", ""UG_Libelle"": ""UG Alpes"", ""UT_Libelle"": ""TULLINS FURES GARE""}";Tullins Fures;Tullins Fures;True;False;DRG AURA-BFC;REGION ALPES;UG Alpes;TULLINS FURES GARE;1;TLE;45.300996,5.492194
00178-1;00178;0087761163;;Tain-l'Hermitage - Tournon;26600;;;;;4.839967;45.072183;b;1;GARES B RHONE ALPES;;;;;;;;;;;;;;45.072183,4.839967
00180-1;00180;0087761106;;Saint-Rambert-d'Albon;26140;;;;;4.810849;45.297797;b;1;GARES B RHONE ALPES;;;;;;;;;;;;;;45.297797,4.810849
00185-1;00185;0087757740;;La Frayère;06400;;;;;6.9720902;43.5581088;b;1;GARES C COTE AZUR;"[{""TVS_Code"": ""FYS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Frayère"", ""Alias_Libelle_Fronton"": ""La Frayère"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""LA FRAYERE HALTE""}";La Frayère;La Frayère;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;LA FRAYERE HALTE;1;FYS;43.5581088,6.9720902
00186-1;00186;0087757732;;Ranguin;06400;;;;;6.9693134;43.5691636;b;1;GARES C COTE AZUR;;;;;;;;;;;;;;43.5691636,6.9693134
00187-1;00187;0087757724;;Grasse;06520;;;;;6.925524;43.653317;b;1;GARES B COTE AZUR;"[{""TVS_Code"": ""GRA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Grasse"", ""Alias_Libelle_Fronton"": ""Grasse"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""GRASSE GARE""}";Grasse;Grasse;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;GRASSE GARE;1;GRA;43.653317,6.925524
00188-1;00188;0087757690;;Biot;06410;;;;;7.126090;43.610951;b;1;GARES B COTE AZUR;;;;;;;;;;;;;;43.610951,7.12609
00190-1;00190;0087757666;;Juan les Pins;06160;;;;;7.111440;43.570896;b;1;GARES B COTE AZUR;;;;;;;;;;;;;;43.570896,7.11144
00191-1;00191;0087757641;;Golfe Juan Vallauris;06220;;;;;7.073578;43.566501;b;1;GARES B COTE AZUR;"[{""TVS_Code"": ""GLF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Golfe Juan Vallauris"", ""Alias_Libelle_Fronton"": ""Golfe Juan Vallauris"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""GOLFE JUAN VALLAURIS GARE""}";Golfe Juan Vallauris;Golfe Juan Vallauris;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;GOLFE JUAN VALLAURIS GARE;1;GLF;43.566501,7.073578
00192-1;00192;0087757625;;Cannes;06400;;;;;7.019682;43.553839;a;2;GARE CANNES;;;;;;;;;;;;;;43.553839,7.019682
00207-1;00207;0087756866;;Saint-Dalmas de Tende;06430;;;;;7.5834505;44.05582;c;1;GARES C COTE AZUR;"[{""TVS_Code"": ""SDD""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Dalmas de Tende"", ""Alias_Libelle_Fronton"": ""Saint-Dalmas de Tende"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""SAINT DALMAS DE TENDE P GARE""}";Saint-Dalmas de Tende;Saint-Dalmas de Tende;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;SAINT DALMAS DE TENDE P GARE;1;SDD;44.05582,7.5834505
00211-1;00211;0087756817;;Touët-de-l'Escarène;06440;;;;;7.364363;43.8470835;c;1;GARES C COTE AZUR;"[{""TVS_Code"": ""TDO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Touët-de-l'Escarène"", ""Alias_Libelle_Fronton"": ""Touët-de-l'Escarène"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""TOUET DE L ESCARENE GARE""}";Touët-de-l'Escarène;Touët-de-l'Escarène;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;TOUET DE L ESCARENE GARE;1;TDO;43.8470835,7.364363
00212-1;00212;0087756809;;L'Escarène;06440;;;;;7.3517085;43.8397674;c;1;GARES C COTE AZUR;;;;;;;;;;;;;;43.8397674,7.3517085
00218-1;00218;0087756486;;Menton;06500;;;;;7.493300;43.774444;b;2;GARES B COTE AZUR;;;;;;;;;;;;;;43.774444,7.4933
00219-1;00219;0087756478;;Carnoles;06180;;;;;7.48139;43.76203;b;1;GARES B COTE AZUR;"[{""TVS_Code"": ""KRL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Carnoles"", ""Alias_Libelle_Fronton"": ""Carnoles"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""CARNOLES GARE""}";Carnoles;Carnoles;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;CARNOLES GARE;1;KRL;43.76203,7.48139
00220-1;00220;0087756460;;Roquebrune-Cap-Martin;06190;;;;;7.457343;43.7606178;c;1;GARES C COTE AZUR;;;;;;;;;;;;;;43.7606178,7.457343
00222-1;00222;0087756387;;Èze;06360;;;;;7.3568031;43.7221842;b;1;GARES B COTE AZUR;;;;;;;;;;;;;;43.7221842,7.3568031
00224-1;00224;0087756361;;Villefranche-sur-Mer;06230;;;;;7.314129;43.707061;b;1;GARES B COTE AZUR;;;;;;;;;;;;;;43.707061,7.314129
00226-1;00226;0087756346;;Saint-Laurent-du-Var;06700;;;;;7.194413;43.662451;b;1;GARES B COTE AZUR;;;;;;;;;;;;;;43.662451,7.194413
00231-1;00231;0087756254;;Nice Saint-Augustin;06200;;;;;7.216199;43.670728;b;1;GARES B COTE AZUR;"[{""TVS_Code"": ""NIA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Nice Saint-Augustin"", ""Alias_Libelle_Fronton"": ""Nice Saint-Augustin"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Côte d'Azur"", ""UT_Libelle"": ""NICE ST AUGUSTIN GARE""}";Nice Saint-Augustin;Nice Saint-Augustin;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;NICE ST AUGUSTIN GARE;1;NIA;43.670728,7.216199
00240-1;00240;0087755389;;Pignans;83790;;;;;6.2248459;43.298475;c;1;GARES C PROV ALPES;;;;;;;;;;;;;;43.298475,6.2248459
00247-1;00247;0087755264;;La Seyne - Six-Fours;83500;;;;;5.876966;43.116959;b;1;GARES B PROV ALPES;"[{""TVS_Code"": ""LSM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Seyne - Six-Fours"", ""Alias_Libelle_Fronton"": ""La Seyne - Six Fours"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""LA SEYNE TAMARIS SUR MER P GARE""}";La Seyne - Six-Fours;La Seyne - Six Fours;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;LA SEYNE TAMARIS SUR MER P GARE;1;LSM;43.116959,5.876966
00249-1;00249;0087755223;;Bandol;83150;;;;;5.750118;43.140344;b;1;GARES B PROV ALPES;"[{""TVS_Code"": ""BND""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bandol"", ""Alias_Libelle_Fronton"": ""Bandol"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""BANDOL GARE""}";Bandol;Bandol;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;BANDOL GARE;1;BND;43.140344,5.750118
00254-1;00254;0087753715;;Sénas;13560;;;;;5.0733645;43.7409571;c;1;GARES C PROV ALPES;;;;;;;;;;;;;;43.7409571,5.0733645
00258-1;00258;0087753582;;Niolon;13016;;;;;5.2569415;43.340223;c;1;GARES C PROV ALPES;;;;;;;;;;;;;;43.340223,5.2569415
00259-1;00259;0087753574;;La Redonne Ensuès;13820;;;;;5.1975675;43.33447;c;1;GARES C PROV ALPES;"[{""TVS_Code"": ""RDS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Redonne Ensuès"", ""Alias_Libelle_Fronton"": ""La Redonne Ensuès"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION PROVENCE ALPES COTE D'AZUR"", ""UG_Libelle"": ""UG Régionale PA"", ""UT_Libelle"": ""LA REDONNE ENSUES P GARE""}";La Redonne Ensuès;La Redonne Ensuès;True;False;DRG Occitanie Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;LA REDONNE ENSUES P GARE;1;RDS;43.33447,5.1975675
00262-1;00262;0087753541;;La Couronne Carro;13500;;;;;5.0517077;43.3398078;c;1;GARES C PROV ALPES;;;;;;;;;;;;;;43.3398078,5.0517077
00291-1;00291;0087751404;;Aix-en-Provence;13100;;;;;5.445345;43.522912;b;1;GARES B PROV ALPES;;;;;;;;;;;;;;43.522912,5.445345
00298-1;00298;0087751206;;Sisteron;04200;;;;;5.9465888;44.1902025;b;1;GARES C PROV ALPES;;;;;;;;;;;;;;44.1902025,5.9465888
00300-1;00300;0087751008;;Marseille Saint-Charles;13232;;;;;5.380407;43.302666;a;3;GARE MARSEILLE ST CHARLES;;;;;;;;;;;;;;43.302666,5.380407
00303-1;00303;0087747626;;Clelles - Mens;38930;;;;;5.6050622;44.8272443;c;1;GARES C ALPES;"[{""TVS_Code"": ""CMS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Clelles - Mens"", ""Alias_Libelle_Fronton"": ""Clelles - Mens"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION ALPES"", ""UG_Libelle"": ""UG Alpes"", ""UT_Libelle"": ""CLELLES MENS GARE""}";Clelles - Mens;Clelles - Mens;True;False;DRG AURA-BFC;REGION ALPES;UG Alpes;CLELLES MENS GARE;1;CMS;44.8272443,5.6050622
00304-1;00304;0087747592;;Monestier-de-Clermont;38650;;;;;5.6339702;44.911996;c;1;GARES C ALPES;;;;;;;;;;;;;;44.911996,5.6339702
00308-1;00308;0087747519;;Le Pont-de-Claix;38800;;;;;5.6998669;45.1251549;c;1;GARES C ALPES;;;;;;;;;;;;;;45.1251549,5.6998669
00322-1;00322;0087747212;;Châbons;38690;;;;;5.4281009;45.4383566;c;1;GARES C ALPES;"[{""TVS_Code"": ""CKN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Châbons"", ""Alias_Libelle_Fronton"": ""Châbons"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION ALPES"", ""UG_Libelle"": ""UG Alpes"", ""UT_Libelle"": ""CHABONS GARE""}";Châbons;Châbons;True;False;DRG AURA-BFC;REGION ALPES;UG Alpes;CHABONS GARE;1;CKN;45.4383566,5.4281009
00338-1;00338;0087746735;;Viaduc Sainte-Marie;74310;;;;;6.7850134;45.897096;c;1;GARES C ALPES;"[{""TVS_Code"": ""VDU""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Viaduc Sainte-Marie"", ""Alias_Libelle_Fronton"": ""Viaduc sainte-Marie"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION ALPES"", ""UG_Libelle"": ""UG Etablissement Mont Blanc"", ""UT_Libelle"": ""PONT STE MARIE HALTE""}";Viaduc Sainte-Marie;Viaduc sainte-Marie;True;False;DRG AURA-BFC;REGION ALPES;UG Etablissement Mont Blanc;PONT STE MARIE HALTE;1;VDU;45.897096,6.7850134
00340-1;00340;0087746719;;Servoz;74310;;;;;6.763444;45.9244592;c;1;GARES C ALPES;"[{""TVS_Code"": ""SVZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Servoz"", ""Alias_Libelle_Fronton"": ""Servoz"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION ALPES"", ""UG_Libelle"": ""UG Etablissement Mont Blanc"", ""UT_Libelle"": ""SERVOZ GARE""}";Servoz;Servoz;True;False;DRG AURA-BFC;REGION ALPES;UG Etablissement Mont Blanc;SERVOZ GARE;1;SVZ;45.9244592,6.763444
00351-1;00351;0087746248;;Groisy - Thorens-Glières;74570;;;;;6.17568;46.0111205;c;1;GARES C ALPES;;;;;;;;;;;;;;46.0111205,6.17568
00352-1;00352;0087746222;2013-12-31;Saint-Martin-Bellevue;74370;;;;;;;D;;GARES C ALPES;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Martin-Bellevue"", ""Alias_Libelle_Fronton"": ""Saint-Martin-Bellevue"", ""AgenceGC_Libelle"": null, ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Saint-Martin-Bellevue;Saint-Martin-Bellevue;True;False;;;;;1;;
00354-1;00354;0087746149;;Rumilly;74150;;;;;5.947938;45.862989;b;1;GARES B ALPES;"[{""TVS_Code"": ""RUM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Rumilly"", ""Alias_Libelle_Fronton"": ""Rumilly"", ""AgenceGC_Libelle"": ""DRG AURA-BFC"", ""RegionSNCF_Libelle"": ""REGION ALPES"", ""UG_Libelle"": ""UG Alpes"", ""UT_Libelle"": ""RUMILLY GARE""}";Rumilly;Rumilly;True;False;DRG AURA-BFC;REGION ALPES;UG Alpes;RUMILLY GARE;1;RUM;45.862989,5.947938
00355-1;00355;0087746115;;Albens;73410;;;;;5.9483418;45.785946;c;1;GARES C ALPES;;;;;;;;;;;;;;45.785946,5.9483418
