Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
02793-1;02793;0087182360;;Walbach;68230;;;;;7.2334758;48.0580062;c;1;GARES C ALSACE;"[{""TVS_Code"": ""WAH""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Walbach"", ""Alias_Libelle_Fronton"": ""Walbach"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION ALSACE"", ""UG_Libelle"": ""UG Alsace"", ""UT_Libelle"": ""WALBACH GARE""}";Walbach;Walbach;True;False;DRG Grand Est;REGION ALSACE;UG Alsace;WALBACH GARE;1;WAH;48.0580062,7.2334758
02796-1;02796;0087182337;;Rouffach;68250;;;;;7.312455;47.9602481;b;1;GARES B ALSACE;;;;;;;;;;;;;;47.9602481,7.312455
02818-1;02818;0087181057;2018-07-31;Tagolsheim;68720;;;;;7.2641437;47.6549682;c;1;GARES C ALSACE;;;;;;;;;;;;;;47.6549682,7.2641437
02823-1;02823;0087175828;;Pagny-sur-Meuse;55190;;;;;5.7336468;48.6965426;c;1;GARES C LORRAINE;"[{""TVS_Code"": ""PYM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Pagny-sur-Meuse"", ""Alias_Libelle_Fronton"": ""Pagny-sur-Meuse"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION LORRAINE"", ""UG_Libelle"": ""UG Lorraine"", ""UT_Libelle"": ""PAGNY SUR MEUSE GARE""}";Pagny-sur-Meuse;Pagny-sur-Meuse;True;False;DRG Grand Est;REGION LORRAINE;UG Lorraine;PAGNY SUR MEUSE GARE;1;PYM;48.6965426,5.7336468
02833-1;02833;0087175133;2019-12-14;Bayard;52170;;;;;5.0754439;48.5520296;c;1;GARES C CHAMPAGNE ARDENNE;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bayard"", ""Alias_Libelle_Fronton"": ""Bayard"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Bayard;Bayard;True;False;DRG Grand Est;;;;1;;48.5520296,5.0754439
02838-1;02838;0087175042;;Bar-le-Duc;55000;;;;;5.166822;48.773308;b;2;GARES B LORRAINE;;;;;;;;;;;;;;48.773308,5.166822
02839-1;02839;0087175018;;Revigny-sur-Ornain;55800;;;;;4.9855736;48.8240449;c;1;GARES C LORRAINE;"[{""TVS_Code"": ""REV""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Revigny-sur-Ornain"", ""Alias_Libelle_Fronton"": ""Revigny"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION LORRAINE"", ""UG_Libelle"": ""UG Lorraine"", ""UT_Libelle"": ""REVIGNY GARE""}";Revigny-sur-Ornain;Revigny;True;False;DRG Grand Est;REGION LORRAINE;UG Lorraine;REVIGNY GARE;1;REV;48.8240449,4.9855736
02846-1;02846;0087174326;2013-12-31;Blesme - Haussignémont;51340;;;;;;;D;;GARES C CHAMPAGNE ARDENNE;;;;;;;;;;;;;;
02849-1;02849;0087172874;;Fépin;08170;;;;;4.7266156;50.0234644;c;1;GARES C CHAMPAGNE ARDENNE;"[{""TVS_Code"": ""FEP""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fépin"", ""Alias_Libelle_Fronton"": ""Fépin"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION CHAMPAGNE-ARDENNE"", ""UG_Libelle"": ""UG Champagne"", ""UT_Libelle"": ""FEPIN GARE""}";Fépin;Fépin;True;False;DRG Grand Est;REGION CHAMPAGNE-ARDENNE;UG Champagne;FEPIN GARE;1;FEP;50.0234644,4.7266156
02853-1;02853;0087172270;;Rethel;08300;;;;;4.369566;49.504393;b;1;GARES B CHAMPAGNE ARDENNE;"[{""TVS_Code"": ""RTL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Rethel"", ""Alias_Libelle_Fronton"": ""Rethel"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION CHAMPAGNE-ARDENNE"", ""UG_Libelle"": ""UG Champagne"", ""UT_Libelle"": ""RETHEL GARE""}";Rethel;Rethel;True;False;DRG Grand Est;REGION CHAMPAGNE-ARDENNE;UG Champagne;RETHEL GARE;1;RTL;49.504393,4.369566
02860-1;02860;0087172189;;Lumes;08440;;;;;4.7833571;49.7327973;c;1;GARES C CHAMPAGNE ARDENNE;"[{""TVS_Code"": ""LUQ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Lumes"", ""Alias_Libelle_Fronton"": ""Lumes"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION CHAMPAGNE-ARDENNE"", ""UG_Libelle"": ""UG Champagne"", ""UT_Libelle"": ""LUMES P GARE""}";Lumes;Lumes;True;False;DRG Grand Est;REGION CHAMPAGNE-ARDENNE;UG Champagne;LUMES P GARE;1;LUQ;49.7327973,4.7833571
02861-1;02861;0087172171;;Poix-Terron;08430;;;;;4.6365346;49.6500011;c;1;GARES C CHAMPAGNE ARDENNE;;;;;;;;;;;;;;49.6500011,4.6365346
02864-1;02864;0087172122;;Aubrives;08320;;;;;4.7616512;50.1044507;c;1;GARES C CHAMPAGNE ARDENNE;"[{""TVS_Code"": ""ARI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Aubrives"", ""Alias_Libelle_Fronton"": ""Aubrives"", ""AgenceGC_Libelle"": ""DRG Grand Est"", ""RegionSNCF_Libelle"": ""REGION CHAMPAGNE-ARDENNE"", ""UG_Libelle"": ""UG Champagne"", ""UT_Libelle"": ""AUBRIVES GARE""}";Aubrives;Aubrives;True;False;DRG Grand Est;REGION CHAMPAGNE-ARDENNE;UG Champagne;AUBRIVES GARE;1;ARI;50.1044507,4.7616512
